,year,description,period,dynasty_id
226,1871,"Abolition of the han system, being replaced by a system of prefectures",19th century,0
227,1873,Seikanron: The government debated and rejected the idea of the invasion of Korea.,19th century,0
228,1873,Land Tax Reform (Japan 1873),19th century,0
229,1874,Saga Rebellion,19th century,0
230,1875,Japan quickly transformed in one generation from an isolated feudal society to a modern industrialized nation state and an emerging great power.,19th century,0
231,1876,"Akizuki Rebellion, Hagi Rebellion and Shinpūren Rebellion",19th century,0
232,1877,Satsuma Rebellion,19th century,0
233,1878,Takebashi incident - a riot by underpaid Imperial Guards,19th century,0
234,1888,Chichibu incident – a peasants rebellion,19th century,0
235,1890,The Constitution of the Empire of Japan (Meiji Constitution) was enacted. This turned Japan into a quasi-absolute monarchy with a representative democracy.,19th century,0
236,1891,1891 Mino–Owari earthquake – strongest recorded inland earthquake of Japan,19th century,0
237,1894,The First Sino-Japanese War starts.,19th century,0
238,1895,"The First Sino-Japanese War is won by Japanese, resulting in the Treaty of Shimonoseki. It was the first major conflict between Japan and an overseas military power in modern times. For the first time, regional dominance in East Asia shifted from China to Japan. Korea became a vassal state of Japan.",19th century,0
239,1895,Japanese invasion of Taiwan (1895),19th century,0
240,1896,"The 1896 Sanriku earthquake kills 22,066 people.",19th century,0
241,1902,"Russo-Japanese War: Japan became the first Asian nation to sign a mutual defense pact with a European nation, Britain.",20th century,0
242,1904,Russo-Japanese War: Japan launched a surprise torpedo attack on the Imperial Russian Navy at Port Arthur.,20th century,0
243,1905,"Russo-Japanese War: Japan became the first modern Asian nation to win a war against a European nation (Russia). The Treaty of Portsmouth was signed, ceding some Russian property and territory to Japan and ending the war. Pro-war activists staged the Hibiya incendiary incident nevertheless. This changed the global world order. Japan became the main Asian power.",20th century,0
244,1910,The Japan–Korea Treaty of 1910 completes the annexation of the Korean Empire.,20th century,0
245,1910,The Japanese Antarctic Expedition starts.,20th century,0
246,1912,Emperor Meiji died at the age of 59. Prince Yoshihito became the Emperor of Japan. This marked the start of the Taishō period.,20th century,0
247,1914,The Japanese seaplane carrier Wakamiya conducted the world's first successful naval-launched air raids on 5 September 1914 and during the first months of World War I from Kiaochow Bay off Tsingtao. On 6 September 1914 was the very first air-sea battle in history.,20th century,0
248,1914,The siege of Tsingtao starts as part of World War I.,20th century,0
249,1918,Japanese intervention in Siberia starts and continues until 1922..,20th century,0
250,1918,Rice riots of 1918,20th century,0
251,1919,The March 1st Movement signal the start of the Korean independence movement.,20th century,0
252,1921,"Hōshō, the first Japanese aircraft carrier, is launched.",20th century,0
253,1923,"The 1923 Great Kantō earthquake kills 105,385 people.",20th century,0
254,1926,Emperor Taishō died at the age of 47.,20th century,0
255,1926,Prince Hirohito became the Emperor of the Empire of Japan after the death of his father Yoshihito. This marked the start of the Shōwa period.,20th century,0
256,1927,Shōwa financial crisis,20th century,0
257,1927,The Tokyo Metro Ginza Line between Ueno and Asakusa was the first subway line built in Japan and East Asia.[4],20th century,0
258,1930,Wushe incident – a rebellion on Taiwan,20th century,0
259,1931,Japan invaded Manchuria in the aftermath of the Mukden Incident.,20th century,0
260,1932,"Manchukuo, a puppet state of Japan, is established.",20th century,0
261,1937,The Second Sino-Japanese War starts.,20th century,0
262,1940,The Japanese invasion of French Indochina starts.,20th century,0
263,1941,The Soviet-Japanese Neutrality Pact was signed.,20th century,0
264,1941,"Japan attacked the naval base in Pearl Harbor, Hawaii. Japan has declared war to the US, Dutch and British, marking the start of the Pacific War theatre of World War II.",20th century,0
265,1945,Atomic bombing of Hiroshima,20th century,0
266,1945,"Atomic bombing of Nagasaki, the Soviet invasion of Manchuria starts and continues on as the Kuril Islands dispute",20th century,0
267,1945,Surrender of Japan,20th century,0
268,1946,"In the controversial International Military Tribunal for the Far East, the prosecution began of Japanese military leaders for war crimes.",20th century,0
269,1947,"The Constitution of Japan goes into effect. This changed the Empire of Japan into the State of Japan (Nihon Koku, 日本国) with a liberal democracy. Article 9 turned Japan into a pacifist country without a military.",20th century,0
270,1951,"The US Occupation of Japan ended after the signing of the Treaty of San Francisco and Security Treaty Between the United States and Japan on September 8, 1951, which became effective on April 28, 1952. It restored the sovereignty of Japan and established the U.S.-Japan alliance.",20th century,0
271,1954,"Formation of Japan Ground Self-Defense Force (GSDF), Japan Maritime Self-Defense Force (JMSDF), and Japan Air Self-Defense Force (JASDF).",20th century,0
272,1955,"The right-wing Liberal Democratic Party, which has ruled Japan almost continuously ever since, is established.",20th century,0
273,1956,Japan joins the United Nations.,20th century,0
274,1960,"The massive Anpo Protests against revision of the US-Japan Security Treaty are the largest protests in Japan's modern history, and force the resignation of Prime Minister Nobusuke Kishi and the cancellation of a planned visit by US president Dwight D. Eisenhower.",20th century,0
275,1964,"The largest Japanese land reclamation project thus far was completed in Lake Hachirōgata, creating the village of Ōgata out of 195 km2 of lakebed reclaimed since 1957.",20th century,0
276,1964,The first Shinkansen high-speed train railway line was opened.,20th century,0
277,1964,"1964 Summer Olympics: Tokyo hosted the Olympics, marking the first time the Games were held in Asia.",20th century,0
278,1968,Japan surpassed West Germany to become the second largest economic power in the world.,20th century,0
279,1968,The Ogasawara Islands were returned from US occupation to Japanese sovereignty. Japanese citizens were allowed to return.,20th century,0
280,1969,Student protests against the Vietnam War and American use of bases on Japanese soil culminated in a short-lived takeover of Tokyo University.,20th century,0
281,1970,The first successful launch of the Lambda 4S rocket places the Japanese Ohsumi satellite on orbit.,20th century,0
282,1970,The Koza riot was a violent and spontaneous protest against the US military presence in Okinawa.,20th century,0
